name,description,price,category
Xi,Xi is a premium quality product.,65.4,Fashion
Psi,Psi is sustainable and eco-friendly.,48.9,Home Goods
Gamma,Gamma offers premium quality.,10.22,Electronics
Omicron,Omicron is compact and highly durable.,29.9,Electronics
Pi,Pi combines style and functionality.,40.75,Home Goods
Tau,Tau is perfect for everyday use.,27.45,Electronics
Nu,Nu delivers outstanding performance.,47.85,Electronics
Chi,Chi offers exceptional comfort.,33.8,Baby Products
Sigma,Sigma is robust and built to last.,55.6,Home Goods
Lambda,Lambda combines elegance and functionality.,45.5,Fashion
Zeta,Zeta is an innovative solution.,76.86,Fashion
Theta,Theta is top-rated for safety.,34.15,Baby Products
Eta,Eta provides exceptional value.,38.86,Home Goods
Phi,Phi features a contemporary design.,70.3,Fashion
Chi,Chi is safe and comfortable for babies.,33.8,Baby Products
Psi,Psi is an eco-friendly product.,48.9,Home Goods
Rho,Rho is perfect for modern homes.,53.65,Home Goods
Mu,Mu is highly efficient and user-friendly.,22.1,Automotive
Phi,Phi is known for its innovative design.,70.3,Fashion
Epsilon,Epsilon is versatile and easy to use.,65.94,Electronics
Sigma,Sigma offers great value for money.,55.6,Home Goods
Alpha,Alpha is a durable and stylish product.,39.58,Electronics
Upsilon,Upsilon is a top choice for professionals.,60.25,Automotive
Upsilon,Upsilon provides unmatched versatility.,60.25,Automotive
Iota,Iota is compact and convenient.,24.36,Electronics
Delta,Delta is designed for efficiency.,10.55,Automotive
Kappa,Kappa stands out with a modern design.,16.84,Fashion
Tau,Tau is easy to use and highly reliable.,27.45,Electronics
Omega,Omega stands out with its sleek design.,52.75,Electronics
Beta,Beta is reliable and affordable.,83.92,Home Goods
